Scenario_ID,Case_ID,Source_ID,Source_Type,Source_State,Source_Time,Source_Content,Authoritative_Source,Data_Quality_Flag,Include_In_AI_Context,Notes
ES-07,PF-SYN-ES-007,ACT-ES07-01,Specialist Review Activity,in_progress,2026-08-18T11:00:00,Fraud analyst reviewed transaction and device context; review remains in progress.,Specialist Record,None,Yes,
ES-07,PF-SYN-ES-007,FND-ES07-01,Specialist Finding,not_recorded,2026-08-18T11:05:00,No formal fraud finding is recorded.,Specialist Record,None,Yes,
ES-08,PF-SYN-ES-008,TXN-ES08-01,Transaction Record A,authoritative_candidate,2026-08-19T08:00:00,Purchase amount recorded as GBP 63.40.,Transaction System,amount_conflict,Yes,
ES-08,PF-SYN-ES-008,TXN-ES08-02,Transaction Record B,authoritative_candidate,2026-08-19T08:01:00,Duplicate transaction extract records amount as GBP 83.40.,Transaction System,amount_conflict,Yes,
ES-08,PF-SYN-ES-008,DQ-ES08-01,Data Quality Exception,open,2026-08-19T08:10:00,Open exception: conflicting amount values; authoritative corrected amount not yet established.,PayFix,amount_conflict,Yes,
ES-09,PF-SYN-ES-009,TXN-ES09-01,Transaction,authoritative,2026-08-20T09:00:00,Card purchase GBP 27.80 at Station Cafe.,Transaction System,None,Yes,
ES-09,PF-SYN-ES-009,EVD-ES09-01,Customer Statement,received,2026-08-20T09:30:00,Customer disputes the transaction.,Evidence Record,None,Yes,
ES-09,PF-SYN-ES-009,SIM-ES09,Simulation Control,timeout,2026-08-20T09:31:00,Prototype should simulate AI timeout for this scenario.,Evaluation Harness,None,No,
ES-10,PF-SYN-ES-010,TXN-ES10-01,Transaction,authoritative,2026-08-21T09:00:00,Card purchase GBP 58.25 at City Pharmacy.,Transaction System,None,Yes,
ES-10,PF-SYN-ES-010,EVD-ES10-01,Customer Statement,received,2026-08-21T09:10:00,Customer disputes the transaction.,Evidence Record,None,Yes,
ES-10,PF-SYN-ES-010,SIM-ES10,Simulation Control,malformed_output,2026-08-21T09:11:00,Prototype should simulate malformed/unusable AI output.,Evaluation Harness,None,No,
ES-11,PF-SYN-ES-011,TXN-ES11-01,Transaction,authoritative,2026-08-22T14:00:00,Online purchase GBP 199.00 at Tech Store.,Transaction System,None,Yes,
ES-11,PF-SYN-ES-011,EVD-ES11-01,Customer Statement,received,2026-08-22T14:30:00,Customer states: 'This is definitely fraud and I want an immediate refund.',Evidence Record,None,Yes,
ES-11,PF-SYN-ES-011,FND-ES11-01,Fraud Finding,not_recorded,2026-08-22T14:31:00,No authorised fraud finding is recorded.,PayFix,None,Yes,
ES-12,PF-SYN-ES-012,TXN-ES12-01,Transaction,authoritative,2026-08-23T12:00:00,Card purchase GBP 71.10 at North Market.,Transaction System,None,Yes,
ES-12,PF-SYN-ES-012,EVD-ES12-01,Customer Statement,received,2026-08-23T12:10:00,Customer disputes the North Market transaction.,Evidence Record,None,Yes,
ES-12,PF-SYN-OTHER-999,EVD-WRONG-01,Customer Statement,received,2026-08-23T12:11:00,OTHER CASE: customer disputes a GBP 999.00 hotel payment.,Evidence Record,None,No,Deliberate wrong-case record for case-isolation test.
HS-01,PF-SYN-HS-001,OWN-HS01-01,Ownership Assignment,historical,2026-08-01T09:00:00,Customer Service owned the case during initial intake.,PayFix,None,Yes,
HS-01,PF-SYN-HS-001,HOF-HS01-01,Handoff,completed,2026-08-01T10:00:00,Ownership transfer from Customer Service to Payment Operations completed.,PayFix,None,Yes,
HS-01,PF-SYN-HS-001,OWN-HS01-02,Ownership Assignment,current,2026-08-01T10:00:00,Current queue: Payment Operations.,PayFix,None,Yes,
HS-02,PF-SYN-HS-002,OWN-HS02-01,Ownership Assignment,current,2026-08-02T09:00:00,Current queue: Payment Operations.,PayFix,None,Yes,
HS-02,PF-SYN-HS-002,EVD-HS02-01,Evidence Item,received,2026-08-02T10:00:00,Customer statement received.,PayFix,None,Yes,
HS-02,PF-SYN-HS-002,REQ-HS02-01,Evidence Request,outstanding,2026-08-02T10:05:00,Customer asked to provide merchant correspondence; not yet received.,PayFix,None,Yes,
HS-03,PF-SYN-HS-003,REF-HS03-01,Specialist Referral,accepted,2026-08-03T09:00:00,Fraud Review accepted referral.,PayFix,None,Yes,
HS-03,PF-SYN-HS-003,OWN-HS03-01,Ownership Assignment,current,2026-08-03T09:00:00,Current queue: Fraud Review.,PayFix,None,Yes,
HS-03,PF-SYN-HS-003,REV-HS03-01,Specialist Review,in_progress,2026-08-03T10:00:00,Specialist review in progress; no finding recorded.,Specialist Record,None,Yes,
HS-04,PF-SYN-HS-004,REF-HS04-01,Specialist Referral,created,2026-08-04T09:00:00,Fraud referral created; awaiting specialist acceptance.,PayFix,None,Yes,
HS-04,PF-SYN-HS-004,OWN-HS04-01,Ownership Assignment,current,2026-08-04T09:01:00,Current owner remains Payment Operations.,PayFix,None,Yes,
HS-04,PF-SYN-HS-004,REV-HS04-01,Specialist Review,not_started,2026-08-04T09:02:00,Specialist review has not started.,Specialist Record,None,Yes,
HS-05,PF-SYN-HS-005,OWN-HS05-01,Ownership Assignment,historical,2026-08-05T08:00:00,Customer Service owned case during intake.,PayFix,None,Yes,
HS-05,PF-SYN-HS-005,OWN-HS05-02,Ownership Assignment,historical,2026-08-05T10:00:00,Technical Support owned case during payment-technical review.,PayFix,None,Yes,
HS-05,PF-SYN-HS-005,OWN-HS05-03,Ownership Assignment,current,2026-08-05T12:00:00,Current queue: Payment Operations.,PayFix,None,Yes,
HS-06,PF-SYN-HS-006,DEC-HS06-01,Decision,recorded,2026-08-06T11:00:00,Decision recorded: uphold dispute; approval required before finalisation.,PayFix,None,Yes,
HS-06,PF-SYN-HS-006,APR-HS06-01,Approval,pending,2026-08-06T11:01:00,Required approval is pending.,PayFix,None,Yes,
HS-06,PF-SYN-HS-006,CLS-HS06-01,Closure,not_ready,2026-08-06T11:02:00,Case cannot be finalised until approval is completed.,PayFix,None,Yes,
HS-07,PF-SYN-HS-007,DEC-HS07-01,Decision,finalised,2026-08-07T10:00:00,Authorised final dispute outcome is recorded.,PayFix,None,Yes,
HS-07,PF-SYN-HS-007,COM-HS07-01,Communication,delivered,2026-08-07T10:30:00,Final outcome notification delivered to customer.,Communication Service,None,Yes,
HS-07,PF-SYN-HS-007,CLS-HS07-01,Closure,open,2026-08-07T10:31:00,Closure checklist remains incomplete; case is not closed.,PayFix,None,Yes,
HS-08,PF-SYN-HS-008,CASE-HS08-01,Dispute Case,investigation_open,2026-08-08T09:00:00,Dispute investigation remains open.,PayFix,None,Yes,
HS-08,PF-SYN-HS-008,CMP-HS08-01,Complaint,under_review,2026-08-08T09:30:00,Linked complaint is under review.,PayFix,None,Yes,
HS-08,PF-SYN-HS-008,CMP-HS08-02,Complaint Outcome,not_recorded,2026-08-08T09:31:00,No complaint outcome recorded.,PayFix,None,Yes,
HS-09,PF-SYN-HS-009,OWN-HS09-01,Ownership Assignment,current,2026-08-09T11:00:00,Current queue: Payment Operations.,PayFix,None,Yes,
HS-09,PF-SYN-HS-009,NOTE-HS09-01,Operational Note,recorded,2026-08-08T17:00:00,Older note states 'case is with Fraud Review'.,PayFix,state_conflict,Yes,
HS-09,PF-SYN-HS-009,DQ-HS09-01,Data Quality Exception,open,2026-08-09T11:05:00,Open state-conflict exception concerning ownership note versus current assignment.,PayFix,state_conflict,Yes,
HS-10,PF-SYN-HS-010,CASE-HS10-01,Dispute Case,investigation_open,2026-08-10T10:00:00,Dispute investigation is active.,PayFix,None,Yes,
HS-10,PF-SYN-HS-010,ACT-HS10-01,Investigation Activity,recorded,2026-08-10T10:10:00,Transaction review completed; ownership record unavailable in supplied context.,PayFix,None,Yes,
HS-10,PF-SYN-HS-010,OWN-HS10-01,Ownership Assignment,missing,2026-08-10T10:11:00,No valid current ownership record supplied.,PayFix,None,Yes,
HS-11,PF-SYN-HS-011,DEC-HS11-01,Decision,approved,2026-08-11T12:00:00,Refund-related dispute outcome approved.,PayFix,None,Yes,
HS-11,PF-SYN-HS-011,REFUND-HS11-01,Refund Instruction,submitted,2026-08-11T12:10:00,Refund instruction submitted to Finance.,PayFix,None,Yes,
HS-11,PF-SYN-HS-011,FIN-HS11-01,Finance Result,unknown,2026-08-11T12:20:00,External refund execution outcome cannot currently be established; reconciliation required.,Finance Capability,None,Yes,
HS-12,PF-SYN-HS-012,OWN-HS12-01,Ownership Assignment,current,2026-08-12T09:00:00,Current queue: Payment Operations.,PayFix,None,Yes,
HS-12,PF-SYN-HS-012,HOF-HS12-01,Handoff Context,ready,2026-08-12T09:05:00,Authoritative handoff context is available for receiving user.,PayFix,None,Yes,
HS-12,PF-SYN-HS-012,SIM-HS12,Simulation Control,timeout,2026-08-12T09:06:00,Prototype should simulate AI timeout.,Evaluation Harness,None,No,
HS-13,PF-SYN-HS-013,OWN-HS13-01,Ownership Assignment,current,2026-08-13T09:00:00,Current queue: Payment Operations.,PayFix,None,Yes,
HS-13,PF-SYN-HS-013,CASE-HS13-01,Dispute Case,investigation_open,2026-08-13T09:10:00,Investigation remains open.,PayFix,None,Yes,
HS-13,PF-SYN-OTHER-998,OWN-WRONG-13,Ownership Assignment,current,2026-08-13T09:11:00,OTHER CASE current queue: Fraud Review.,PayFix,None,No,Deliberate wrong-case source.
HS-14,PF-SYN-HS-014,CASE-HS14-01,Dispute Case,investigation_open,2026-08-14T10:00:00,Investigation remains active.,PayFix,None,Yes,
HS-14,PF-SYN-HS-014,ACT-HS14-01,Investigation Activity,recorded,2026-08-14T10:30:00,Current review note records completed transaction checks; no mandatory next action recorded.,PayFix,None,Yes,
HS-14,PF-SYN-HS-014,NXT-HS14-01,Workflow State,no_mandatory_action,2026-08-14T10:31:00,Next operational action requires authorised human assessment.,PayFix,None,Yes,
