case_id,transaction_id,submission_datetime,submission_channel,customer_service_segment,transaction_datetime,transaction_type,transaction_amount_gbp,merchant_category,dispute_category,customer_sentiment,evidence_completeness,initial_evidence_count,priority,assigned_queue,case_status,first_response_datetime,resolution_datetime,sla_target_hours,manual_handoff_count,rework_count,customer_contact_count,customer_update_count,fraud_referral_flag,escalation_flag,complaint_flag,outcome,refund_amount_gbp,resolution_time_hours,first_response_time_hours,sla_breached_flag,data_quality_flag
PFXC-000011,TXN-0000505,2026-05-16T09:03:02,Web,Standard,2026-05-08T05:55:02,Direct Debit,69.57,Digital Services,Delayed Refund,Positive,Complete,4,Standard,Payment Operations,Resolved,2026-05-17T04:56:18,2026-05-21T03:36:31,120,0,0,0,3,No,No,No,Full Refund,69.57,114.56,19.89,No,Valid
PFXC-000012,TXN-0012174,2025-08-26T09:45:56,Email,Vulnerable Support,2025-07-31T05:08:56,Card Purchase,440.74,Travel,Subscription Dispute,Frustrated,Partial,1,Standard,Refund Approval,Resolved,2025-08-26T21:30:00,2025-09-01T10:15:56,120,3,0,5,3,No,Yes,No,Full Refund,440.74,144.50,11.73,Yes,Valid
PFXC-000013,TXN-0002544,2026-05-01T21:58:44,Mobile,Vulnerable Support,2026-03-08T06:35:44,Card Purchase,52.40,Travel,Failed Payment,Frustrated,Complete,2,High,Technical Support,Resolved,2026-05-02T01:53:32,2026-05-08T00:26:15,72,3,1,3,2,No,Yes,Yes,Full Refund,52.40,146.46,3.91,Yes,Valid
PFXC-000014,TXN-0005829,2025-05-16T01:04:41,Mobile,Standard,2025-03-25T13:19:41,Card Purchase,260.90,Digital Services,Unauthorised Transaction,Distressed,Complete,3,High,Customer Service,Resolved,2025-05-16T09:49:30,2025-05-22T00:39:40,72,3,0,3,4,No,Yes,Yes,Full Refund,260.90,143.58,8.75,Yes,Valid
PFXC-000015,TXN-0001744,2025-02-19T21:46:08,Web,Standard,2025-02-18T03:15:08,Card Purchase,51.97,Retail,Unauthorised Transaction,Frustrated,Complete,2,Standard,Customer Service,Resolved,2025-02-20T13:55:56,2025-02-25T23:06:45,120,0,0,2,3,No,No,No,Full Refund,51.97,145.34,16.16,Yes,Valid
PFXC-000016,TXN-0011928,2025-08-17T16:34:11,Mobile,Standard,2025-07-27T22:40:11,Bank Transfer,38.89,Retail,Delayed Refund,Frustrated,Complete,2,Standard,Payment Operations,Awaiting Evidence,2025-08-18T14:46:54,,120,3,1,3,3,No,Yes,No,Pending,0.00,,22.21,No,Valid
PFXC-000017,TXN-0009229,2025-11-18T13:48:25,Mobile,Standard,2025-10-12T16:51:25,Card Purchase,15.04,Utilities,Delayed Refund,Distressed,Partial,1,Standard,Payment Operations,Pending Approval,2025-11-19T06:09:06,,120,2,0,3,2,No,No,No,Pending,0.00,,16.34,No,Valid
PFXC-000018,TXN-0000002,2026-02-07T18:36:57,Mobile,Vulnerable Support,2026-02-04T01:50:57,Direct Debit,30.06,Retail,Cash Withdrawal Dispute,Frustrated,Partial,2,High,Customer Service,In Investigation,2026-02-08T01:26:46,,72,1,1,2,2,No,No,No,Pending,0.00,,6.83,No,Valid
PFXC-000019,TXN-0001901,2025-01-24T16:37:25,Mobile,Assisted Digital,2024-12-22T10:14:25,Card Purchase,103.48,Utilities,Failed Payment,Frustrated,Complete,3,Standard,Complaints,Resolved,2025-01-25T09:36:32,2025-01-30T10:32:06,120,2,1,3,2,No,Yes,Yes,Full Refund,103.48,137.91,16.99,Yes,Valid
PFXC-000020,TXN-0003154,2026-03-30T03:45:50,Web,Standard,2026-02-20T22:14:50,Direct Debit,25.72,Retail,Other,Distressed,Partial,2,Standard,Customer Service,Resolved,2026-03-31T00:41:53,2026-04-05T03:58:44,120,1,1,4,4,No,No,No,Full Refund,25.72,144.22,20.93,Yes,Valid
PFXC-000021,TXN-0007077,2025-02-02T16:52:59,Mobile,Standard,2024-12-09T21:39:59,Direct Debit,26.66,Digital Services,Subscription Dispute,Neutral,Complete,3,Standard,Customer Service,Cancelled,2025-02-03T13:34:21,2025-02-04T15:00:42,120,1,0,3,5,No,No,No,Customer Withdrawn,0.00,46.13,20.69,No,Valid
PFXC-000022,TXN-0003927,2026-05-20T17:55:06,Web,Vulnerable Support,2026-03-27T00:47:06,Card Purchase,164.59,Travel,Incorrect Amount,Neutral,Complete,3,High,Payment Operations,Resolved,2026-05-21T08:54:36,2026-05-23T05:46:00,72,1,0,1,3,No,No,No,Partial Refund,43.08,59.85,14.99,No,Valid
PFXC-000023,TXN-0008387,2025-12-16T04:33:51,Web,Standard,2025-10-24T10:29:51,Card Purchase,81.07,Subscription,Other,Frustrated,Partial,2,Standard,Customer Service,Rejected,2025-12-16T15:42:34,2025-12-21T20:29:54,120,1,1,2,1,No,Yes,Yes,No Refund,0.00,135.93,11.15,Yes,Valid
PFXC-000024,TXN-0005057,2025-12-22T02:42:25,Mobile,Standard,2025-12-10T21:49:25,Card Purchase,8.83,Retail,Unauthorised Transaction,Frustrated,Partial,1,Standard,Fraud Review,Rejected,2025-12-22T21:02:27,2025-12-31T13:42:16,120,2,1,4,5,Yes,Yes,No,No Refund,0.00,227.00,18.33,Yes,Valid
PFXC-000025,TXN-0002560,2025-05-29T07:12:20,Mobile,Standard,2025-05-21T02:02:20,Bank Transfer,8.57,Utilities,Subscription Dispute,Neutral,Complete,4,Standard,Fraud Review,In Investigation,2025-05-30T02:53:10,,120,3,0,3,3,Yes,No,No,Pending,0.00,,19.68,No,Valid
PFXC-000026,TXN-0003206,2025-04-15T22:44:29,Chat,Assisted Digital,2025-04-08T11:40:29,Bank Transfer,18.04,Travel,Duplicate Debit,Frustrated,Partial,2,Low,Payment Operations,Rejected,2025-04-17T03:39:38,2025-04-20T11:02:08,168,2,1,2,1,No,Yes,No,No Refund,0.00,108.29,28.92,No,Valid
PFXC-000027,TXN-0008309,2025-08-09T05:13:31,Mobile,Assisted Digital,2025-07-27T19:30:31,Bank Transfer,75.44,Digital Services,Cash Withdrawal Dispute,Positive,Complete,3,Low,Customer Service,Awaiting Evidence,2025-08-10T14:52:05,,168,2,0,1,2,No,No,No,Pending,0.00,,33.64,No,Valid
PFXC-000028,TXN-0005404,2025-07-07T04:32:06,Call Centre,Standard,2025-05-13T12:45:06,Bank Transfer,52.25,Subscription,Subscription Dispute,Frustrated,Partial,2,Standard,Customer Service,Pending Customer,2025-07-07T22:45:21,,120,0,1,1,3,No,No,No,Pending,0.00,,18.22,No,Valid
PFXC-000029,TXN-0004449,2025-07-27T00:17:54,Call Centre,Assisted Digital,2025-07-10T04:29:54,Card Purchase,22.49,Subscription,Cash Withdrawal Dispute,Frustrated,Partial,1,Standard,Customer Service,Resolved,2025-07-27T15:14:13,2025-08-02T02:41:51,120,2,0,3,3,No,Yes,Yes,Full Refund,22.49,146.40,14.94,Yes,Valid
PFXC-000030,TXN-0011801,2025-01-10T04:49:51,Email,Standard,2024-11-22T15:07:51,Cash Withdrawal,28.64,Subscription,Subscription Dispute,Neutral,Partial,1,Standard,Customer Service,Pending Approval,2025-01-10T17:27:19,,120,0,1,1,1,No,No,No,Pending,0.00,,12.62,No,Valid
PFXC-000031,TXN-0007668,2025-09-28T13:57:01,Email,Standard,2025-09-05T21:38:01,Direct Debit,10.60,Travel,Unauthorised Transaction,Frustrated,Complete,3,Standard,Fraud Review,Resolved,2025-09-28T20:53:14,2025-10-06T10:41:59,120,1,1,4,4,Yes,No,Yes,Full Refund,10.60,188.75,6.94,Yes,Valid
PFXC-000032,TXN-0003126,2025-03-14T16:57:20,Mobile,Standard,2025-01-18T06:22:20,Direct Debit,46.16,Subscription,Failed Payment,Positive,Partial,1,Low,Technical Support,Resolved,2025-03-15T23:24:17,2025-03-20T02:55:09,168,0,2,1,2,No,No,No,Full Refund,46.16,129.96,30.45,No,Valid
PFXC-000033,TXN-0009542,2025-06-20T07:13:46,Web,Standard,2025-05-14T07:39:46,Card Purchase,181.44,Subscription,Merchant Non-confirmation,Frustrated,Partial,2,Standard,Fraud Review,Resolved,2025-06-21T08:33:15,2025-06-29T13:34:30,120,3,1,3,4,Yes,No,Yes,Fraud Referral,0.00,222.35,25.32,Yes,Valid
PFXC-000034,TXN-0002099,2025-09-01T12:53:52,Web,Assisted Digital,2025-07-31T19:33:52,Direct Debit,76.32,Retail,Duplicate Debit,Frustrated,Complete,4,Standard,Payment Operations,Cancelled,2025-09-02T07:14:26,2025-09-04T20:04:29,120,2,0,2,3,No,No,Yes,Duplicate Case,0.00,79.18,18.34,No,Valid
PFXC-000035,TXN-0008050,2025-07-12T03:28:37,Web,Standard,2025-06-21T00:45:37,Card Purchase,53.16,Utilities,Duplicate Debit,Neutral,Partial,2,Low,Refund Approval,Resolved,2025-07-13T09:56:20,2025-07-15T19:41:08,168,2,0,1,3,No,No,No,Full Refund,53.16,88.21,30.46,No,Valid
PFXC-000036,TXN-0001161,2025-12-23T19:46:39,Web,Standard,2025-12-01T18:32:39,Card Purchase,43.33,Retail,Unauthorised Transaction,Frustrated,Complete,4,High,Fraud Review,Rejected,2025-12-23T22:41:12,2025-12-31T08:25:51,72,3,1,5,2,Yes,Yes,No,No Refund,0.00,180.65,2.91,Yes,Valid
PFXC-000037,TXN-0000153,2025-05-16T05:36:21,Web,Standard,2025-03-27T11:59:21,Card Purchase,41.98,Retail,Subscription Dispute,Positive,Complete,2,Standard,Customer Service,Rejected,2025-05-16T19:10:30,2025-05-19T21:12:40,120,1,0,0,3,No,No,No,No Refund,0.00,87.61,13.57,No,Valid
PFXC-000038,TXN-0011452,2025-05-01T10:29:30,Web,Standard,2025-04-20T17:20:30,Direct Debit,215.16,Retail,Merchant Non-confirmation,Distressed,Complete,3,Standard,Technical Support,Resolved,2025-05-01T22:13:42,2025-05-06T16:19:11,120,1,1,3,1,No,No,No,Full Refund,215.16,125.83,11.74,Yes,Valid
PFXC-000039,TXN-0008502,2025-04-29T14:58:38,Web,Standard,2025-04-17T04:03:38,Card Purchase,149.69,Cash Withdrawal,Unauthorised Transaction,Neutral,Missing,0,Low,Customer Service,Resolved,2025-04-30T22:42:57,2025-05-06T12:31:33,168,1,0,0,1,No,No,No,Fraud Referral,0.00,165.55,31.74,No,Valid
PFXC-000040,TXN-0004273,2026-02-15T07:14:44,Call Centre,Standard,2026-01-19T20:28:44,Card Purchase,176.25,Other,Failed Payment,Frustrated,Partial,1,Standard,Technical Support,Cancelled,2026-02-15T23:58:16,2026-02-20T05:58:27,120,2,0,3,1,No,No,No,Customer Withdrawn,0.00,118.73,16.73,No,Valid
PFXC-000041,TXN-0010541,2025-03-14T23:10:26,Mobile,Standard,2025-03-04T12:57:26,Cash Withdrawal,426.09,Other,Unauthorised Transaction,Frustrated,Partial,2,High,Customer Service,Rejected,2025-03-15T07:29:08,2025-03-21T23:01:29,72,3,0,1,3,No,Yes,No,No Refund,0.00,167.85,8.31,Yes,Valid
PFXC-000042,TXN-0003167,2025-01-19T23:52:16,Mobile,Standard,2024-12-27T12:22:16,Wallet Payment,13.18,Travel,Unauthorised Transaction,Distressed,Partial,1,Standard,Fraud Review,Rejected,2025-01-20T22:30:04,2025-01-29T02:09:01,120,3,1,3,0,Yes,Yes,No,No Refund,0.00,218.28,22.63,Yes,Valid
PFXC-000043,TXN-0008377,2026-05-05T13:13:13,Web,Standard,2026-04-19T23:13:13,Direct Debit,269.35,Digital Services,Incorrect Amount,Distressed,Complete,4,Standard,Payment Operations,In Investigation,2026-05-06T02:53:50,,120,2,0,2,3,No,No,No,Pending,0.00,,13.68,No,Valid
PFXC-000044,TXN-0008881,2025-02-12T11:25:28,Web,Standard,2025-02-04T08:38:28,Card Purchase,39.55,Retail,Incorrect Amount,Distressed,Complete,2,Standard,Refund Approval,Resolved,2025-02-13T02:04:54,2025-02-18T01:51:16,120,3,2,4,4,No,Yes,No,Full Refund,39.55,134.43,14.66,Yes,Valid
PFXC-000045,TXN-0007265,2025-11-10T05:58:56,Mobile,Standard,2025-10-01T05:37:56,Card Purchase,185.52,Digital Services,Failed Payment,Frustrated,Complete,3,Low,Technical Support,Cancelled,2025-11-11T06:42:57,2025-11-11T15:27:35,168,0,0,1,2,No,No,No,Customer Withdrawn,0.00,33.48,24.73,No,Valid
PFXC-000046,TXN-0010294,2025-01-17T00:08:28,Mobile,Standard,2025-01-09T11:21:28,Bank Transfer,66.97,Utilities,Merchant Non-confirmation,Positive,Complete,4,Low,Technical Support,Pending Merchant,2025-01-18T05:26:04,,168,0,0,0,3,No,No,No,Pending,0.00,,29.29,No,Valid
PFXC-000047,TXN-0011999,2025-08-21T22:03:13,Web,Assisted Digital,2025-07-20T11:20:13,Bank Transfer,47.74,Retail,Merchant Non-confirmation,Neutral,Complete,2,Low,Technical Support,Resolved,2025-08-22T18:16:27,2025-08-26T22:08:01,168,1,0,1,4,No,No,No,Full Refund,47.74,120.08,20.22,No,Valid
PFXC-000048,TXN-0009303,2025-08-26T01:12:34,Web,Standard,2025-07-02T18:23:34,Bank Transfer,9.01,Other,Other,Frustrated,Complete,2,Low,Fraud Review,Resolved,2025-08-26T22:24:14,2025-09-03T02:05:46,168,2,0,3,5,Yes,Yes,Yes,Full Refund,9.01,192.89,21.19,Yes,Valid
PFXC-000049,TXN-0004281,2026-02-03T08:35:05,Mobile,Standard,2026-01-13T14:46:05,Cash Withdrawal,7.46,Utilities,Cash Withdrawal Dispute,Frustrated,Complete,3,Standard,Fraud Review,Rejected,2026-02-04T04:39:19,2026-02-13T03:39:22,120,3,1,5,3,Yes,No,No,No Refund,0.00,235.07,20.07,Yes,Valid
PFXC-000050,TXN-0011673,2025-02-16T12:12:10,Call Centre,Standard,2025-01-25T22:28:10,Wallet Payment,165.81,Utilities,Subscription Dispute,Frustrated,Missing,0,Standard,Customer Service,Rejected,2025-02-17T05:20:55,2025-02-23T11:34:08,120,0,1,3,4,No,Yes,No,No Refund,0.00,167.37,17.15,Yes,Valid
PFXC-000051,TXN-0009481,2025-01-08T00:03:13,Web,Standard,2024-11-22T02:29:13,Card Purchase,74.08,Retail,Duplicate Debit,Distressed,Missing,0,Standard,Payment Operations,Resolved,2025-01-08T20:19:53,2025-01-14T12:31:39,120,2,1,1,3,No,Yes,No,Full Refund,74.08,156.47,20.28,Yes,Valid
PFXC-000052,TXN-0011649,2026-03-26T01:50:11,Mobile,Standard,2026-02-22T19:01:11,Card Purchase,162.33,Retail,Unauthorised Transaction,Neutral,Partial,2,High,Fraud Review,In Investigation,2026-03-26T06:38:16,,72,3,1,1,4,Yes,No,No,Pending,0.00,,4.80,No,Valid
PFXC-000053,TXN-0001287,2025-10-10T14:27:19,Web,Standard,2025-08-16T20:16:19,Card Purchase,14.91,Subscription,Unauthorised Transaction,Frustrated,Complete,3,Standard,Fraud Review,Rejected,2025-10-11T10:03:25,2025-10-16T22:10:34,120,3,1,4,1,Yes,Yes,No,No Refund,0.00,151.72,19.60,Yes,Valid
PFXC-000054,TXN-0011961,2026-02-04T10:51:42,Web,Standard,2025-12-23T19:06:42,Direct Debit,41.29,Digital Services,Failed Payment,Neutral,Partial,2,Standard,Technical Support,In Triage,2026-02-05T01:38:56,,120,2,1,4,3,No,Yes,No,Pending,0.00,,14.79,No,Valid
PFXC-000055,TXN-0002414,2025-11-21T20:21:57,Mobile,Standard,2025-09-23T16:22:57,Wallet Payment,104.10,Subscription,Duplicate Debit,Distressed,Complete,4,Standard,Payment Operations,In Investigation,2025-11-22T12:29:04,,120,1,0,3,3,No,No,Yes,Pending,0.00,,16.12,No,Valid
PFXC-000056,TXN-0010354,2026-01-26T23:07:17,Mobile,Standard,2025-12-14T23:06:17,Bank Transfer,87.97,Travel,Duplicate Debit,Positive,Partial,1,Standard,Payment Operations,Pending Customer,2026-01-27T10:08:55,,120,2,1,1,1,No,No,No,Pending,0.00,,11.03,No,Valid
PFXC-000057,TXN-0004688,2025-12-01T13:28:39,Chat,Vulnerable Support,2025-11-16T15:39:39,Card Purchase,206.71,Cash Withdrawal,Incorrect Amount,Frustrated,Partial,2,Standard,Payment Operations,Resolved,2025-12-02T06:23:00,2025-12-07T01:23:31,120,1,0,4,2,No,No,No,Full Refund,206.71,131.91,16.91,Yes,Valid
PFXC-000058,TXN-0006078,2026-01-19T23:53:49,Mobile,Standard,2026-01-02T03:00:49,Cash Withdrawal,41.27,Retail,Duplicate Debit,Positive,Complete,3,Low,Payment Operations,Rejected,2026-01-21T05:24:56,2026-01-23T07:17:12,168,0,1,0,2,No,No,No,No Refund,0.00,79.39,29.52,No,Valid
PFXC-000059,TXN-0001967,2026-01-19T18:33:13,Web,Standard,2025-11-19T23:09:13,Bank Transfer,68.64,Retail,Delayed Refund,Frustrated,Partial,1,Standard,Payment Operations,Pending Approval,2026-01-20T16:13:26,,120,2,0,0,2,No,No,No,Pending,0.00,,21.67,No,Valid
PFXC-000060,TXN-0008616,2026-02-12T05:25:04,Call Centre,Standard,2025-12-17T11:58:04,Wallet Payment,317.88,Retail,Unauthorised Transaction,Frustrated,Complete,3,High,Fraud Review,Resolved,2026-02-12T12:10:52,2026-02-20T11:00:59,72,3,0,1,2,Yes,Yes,No,Fraud Referral,0.00,197.60,6.76,Yes,Valid
PFXC-000061,TXN-0009722,2025-03-19T19:01:30,Call Centre,Standard,2025-03-06T22:31:30,Card Purchase,51.32,Retail,Delayed Refund,Frustrated,Complete,2,Low,Payment Operations,In Triage,2025-03-20T17:55:00,,168,2,1,3,0,No,No,No,Pending,0.00,,22.89,No,Valid
PFXC-000062,TXN-0006034,2025-05-21T06:18:44,Web,Standard,2025-05-02T04:10:44,Bank Transfer,139.04,Travel,Unauthorised Transaction,Frustrated,Partial,1,High,Fraud Review,Rejected,2025-05-21T10:50:16,2025-05-29T14:38:53,72,2,1,4,3,Yes,Yes,No,No Refund,0.00,200.34,4.53,Yes,Valid
PFXC-000063,TXN-0007514,2025-10-31T10:41:22,Mobile,Standard,2025-10-09T10:06:22,Wallet Payment,48.75,Subscription,Duplicate Debit,Neutral,Complete,2,Standard,Payment Operations,Resolved,2025-11-01T00:07:58,2025-11-03T04:29:48,120,2,0,1,2,No,No,No,Full Refund,48.75,65.81,13.44,No,Valid
PFXC-000064,TXN-0004719,2025-01-26T12:13:57,Mobile,Standard,2024-12-06T01:05:57,Card Purchase,45.47,Subscription,Subscription Dispute,Distressed,Partial,1,Standard,Customer Service,Rejected,2025-01-26T21:54:42,2025-02-03T16:13:07,120,2,2,3,2,No,Yes,No,No Refund,0.00,195.99,9.68,Yes,Valid
PFXC-000065,TXN-0008244,2026-06-03T14:18:53,Web,Vulnerable Support,2026-05-06T04:14:53,Wallet Payment,63.44,Retail,Subscription Dispute,Neutral,Partial,2,Standard,Customer Service,Pending Merchant,2026-06-04T06:40:06,,120,2,0,1,2,No,No,No,Pending,0.00,,16.35,No,Valid
PFXC-000066,TXN-0004984,2026-05-26T17:09:48,Mobile,Assisted Digital,2026-05-18T19:34:48,Card Purchase,18.39,Travel,Delayed Refund,Frustrated,Complete,2,Standard,Payment Operations,Rejected,2026-05-27T17:13:40,2026-05-31T13:57:05,120,2,1,2,3,No,No,No,No Refund,0.00,116.79,24.06,No,Valid
PFXC-000067,TXN-0008131,2025-08-21T11:29:40,Web,Standard,2025-06-27T09:02:40,Card Purchase,116.43,Subscription,Delayed Refund,Distressed,Missing,0,Standard,Payment Operations,Pending Customer,2025-08-22T05:36:22,,120,0,2,2,4,No,No,No,Pending,0.00,,18.11,No,Valid
PFXC-000068,TXN-0004194,2025-09-16T03:13:05,Mobile,Standard,2025-07-29T02:56:05,Direct Debit,84.71,Retail,Subscription Dispute,Frustrated,Complete,3,Standard,Customer Service,Resolved,2025-09-17T01:14:58,2025-09-19T01:52:37,120,1,1,2,3,No,No,No,Full Refund,84.71,70.66,22.03,No,Valid
PFXC-000069,TXN-0001929,2025-03-30T09:33:50,Chat,Standard,2025-02-26T08:06:50,Card Purchase,61.53,Subscription,Incorrect Amount,Frustrated,Partial,1,Standard,Payment Operations,Cancelled,2025-03-31T06:29:40,2025-04-05T17:01:16,120,1,2,3,3,No,Yes,Yes,Customer Withdrawn,0.00,151.46,20.93,Yes,Valid
PFXC-000070,TXN-0002989,2025-04-10T18:32:04,Web,Standard,2025-03-04T22:43:04,Card Purchase,65.75,Retail,Unauthorised Transaction,Distressed,Missing,0,Standard,Fraud Review,Rejected,2025-04-11T10:15:44,2025-04-19T11:00:14,120,2,1,4,4,Yes,No,No,No Refund,0.00,208.47,15.73,Yes,Valid
PFXC-000071,TXN-0012388,2025-01-31T15:28:24,Call Centre,Standard,2025-01-12T17:46:24,Card Purchase,115.47,Subscription,Delayed Refund,Frustrated,Missing,0,Standard,Complaints,Rejected,2025-02-01T03:12:29,2025-02-09T20:53:54,120,3,2,4,2,No,No,Yes,No Refund,0.00,221.43,11.73,Yes,Valid
PFXC-000072,TXN-0010358,2025-04-13T00:11:29,Mobile,Assisted Digital,2025-03-11T22:38:29,Bank Transfer,89.60,Retail,Unauthorised Transaction,Frustrated,Missing,0,High,Fraud Review,Pending Approval,2025-04-13T05:58:17,,72,3,1,2,7,Yes,Yes,No,Pending,0.00,,5.78,No,Valid
PFXC-000073,TXN-0008112,2025-08-20T03:01:26,Mobile,Standard,2025-07-29T18:39:26,Direct Debit,24.46,Subscription,Unauthorised Transaction,Distressed,Partial,1,High,Customer Service,Resolved,2025-08-20T15:00:04,2025-08-27T15:16:44,72,2,2,3,3,No,Yes,Yes,Fraud Referral,0.00,180.26,11.98,Yes,Valid
PFXC-000074,TXN-0006064,2026-06-14T18:44:10,Chat,Standard,2026-05-10T22:14:10,Cash Withdrawal,29.71,Digital Services,Failed Payment,Neutral,Complete,4,Standard,Technical Support,In Triage,2026-06-15T21:42:05,,120,1,0,0,4,No,No,No,Pending,0.00,,26.97,No,Valid
PFXC-000075,TXN-0011243,2025-03-15T13:55:18,Web,Vulnerable Support,2025-02-12T18:47:18,Bank Transfer,526.26,Retail,Incorrect Amount,Neutral,Partial,2,Standard,Refund Approval,Resolved,2025-03-16T09:53:32,2025-03-20T10:24:05,120,3,1,1,1,No,No,No,Full Refund,526.26,116.48,19.97,No,Valid
PFXC-000076,TXN-0003086,2026-04-21T13:57:01,Email,Assisted Digital,2026-03-09T15:01:01,Cash Withdrawal,160.12,Travel,Other,Frustrated,Complete,3,Standard,Customer Service,Resolved,2026-04-22T05:05:01,2026-04-25T16:06:29,120,2,0,2,4,No,No,No,Full Refund,160.12,98.16,15.13,No,Valid
PFXC-000077,TXN-0003308,2025-06-07T01:03:06,Chat,Standard,2025-04-17T16:00:06,Card Purchase,37.50,Digital Services,Subscription Dispute,Frustrated,Partial,1,Standard,Customer Service,Rejected,2025-06-07T17:02:20,2025-06-12T04:23:53,120,0,0,2,1,No,No,Yes,No Refund,0.00,123.35,15.99,Yes,Valid
PFXC-000078,TXN-0010193,2026-04-10T01:25:55,Call Centre,Standard,2026-02-27T19:10:55,Direct Debit,1236.06,Cash Withdrawal,Incorrect Amount,Frustrated,Partial,1,High,Payment Operations,Rejected,2026-04-10T02:42:43,2026-04-15T11:21:23,72,2,1,3,2,No,Yes,No,No Refund,0.00,129.92,1.28,Yes,Valid
PFXC-000079,TXN-0004403,2025-10-07T02:38:23,Mobile,Standard,2025-08-17T04:17:23,Bank Transfer,26.82,Other,Merchant Non-confirmation,Distressed,Partial,1,Standard,Technical Support,Resolved,2025-10-08T00:06:38,2025-10-12T03:25:04,120,1,0,3,3,No,No,No,Full Refund,26.82,120.78,21.47,Yes,Valid
PFXC-000080,TXN-0010401,2026-03-28T10:20:20,Web,Standard,2026-02-15T02:42:20,Card Purchase,49.94,Other,Merchant Non-confirmation,Distressed,Partial,1,Standard,Technical Support,Rejected,2026-03-29T00:21:05,2026-04-02T18:27:29,120,2,0,2,3,No,No,Yes,No Refund,0.00,128.12,14.01,Yes,Valid
