evidence_id,case_id,evidence_type,submitted_by,received_datetime,file_format,completeness_status,review_outcome,sensitive_data_flag,security_scan_result
EVD-00000070,PFXC-000028,Screenshot,Customer,2025-07-09T19:12:33,JPG,Incomplete,Further Evidence Required,No,Passed
EVD-00000071,PFXC-000028,Bank Statement,Operations,2025-07-08T08:13:33,JPG,Incomplete,Further Evidence Required,No,Passed
EVD-00000072,PFXC-000028,Receipt,Customer,2025-07-07T07:58:42,PDF,Incomplete,Further Evidence Required,No,Passed
EVD-00000073,PFXC-000029,Receipt,Customer,2025-07-29T15:06:27,PNG,Complete,Accepted,Yes,Passed
EVD-00000074,PFXC-000029,Merchant Communication,Customer,2025-07-28T19:36:13,PNG,Complete,Accepted,No,Passed
EVD-00000075,PFXC-000030,Bank Statement,Customer,2025-01-12T04:21:07,PDF,Complete,Accepted,No,Passed
EVD-00000076,PFXC-000031,Screenshot,Customer,2025-09-29T23:33:23,JPG,Complete,Accepted,No,Passed
EVD-00000077,PFXC-000031,Merchant Communication,Customer,2025-09-29T10:29:47,PNG,Complete,Accepted,No,Passed
EVD-00000078,PFXC-000031,Receipt,Customer,2025-09-30T06:18:09,PDF,Complete,Accepted,No,Passed
EVD-00000079,PFXC-000032,Screenshot,Customer,2025-03-17T13:04:22,Other,Incomplete,Rejected,No,Passed
EVD-00000080,PFXC-000032,Merchant Communication,Merchant,2025-03-15T23:23:20,PDF,Complete,Accepted,Yes,Passed
EVD-00000081,PFXC-000032,Screenshot,Customer,2025-03-17T08:44:32,PNG,Incomplete,Rejected,No,Passed
EVD-00000082,PFXC-000033,Screenshot,Merchant,2025-06-21T07:36:14,PNG,Unreadable,Rejected,No,Passed
EVD-00000083,PFXC-000033,Bank Statement,Customer,2025-06-20T22:26:10,PDF,Complete,Accepted,Yes,Passed
EVD-00000084,PFXC-000033,Other,Customer,2025-06-22T05:24:42,JPG,Incomplete,Further Evidence Required,Yes,Passed
EVD-00000085,PFXC-000034,Screenshot,Customer,2025-09-03T09:14:42,JPG,Complete,Accepted,No,Passed
EVD-00000086,PFXC-000034,Bank Statement,Merchant,2025-09-03T14:54:57,PDF,Complete,Accepted,Yes,Passed
EVD-00000087,PFXC-000034,Merchant Communication,Customer,2025-09-03T01:18:17,JPG,Complete,Accepted,No,Passed
EVD-00000088,PFXC-000034,Screenshot,Customer,2025-09-03T05:06:19,PDF,Complete,Accepted,No,Passed
EVD-00000089,PFXC-000035,Bank Statement,Customer,2025-07-13T22:15:59,PDF,Complete,Accepted,No,Passed
EVD-00000090,PFXC-000035,Merchant Communication,Customer,2025-07-13T14:08:28,CSV,Complete,Further Evidence Required,No,Passed
EVD-00000091,PFXC-000036,Receipt,Customer,2025-12-24T00:05:22,PDF,Complete,Accepted,No,Passed
EVD-00000092,PFXC-000036,Bank Statement,Customer,2025-12-24T14:12:27,PDF,Complete,Accepted,No,Passed
EVD-00000093,PFXC-000036,Bank Statement,Customer,2025-12-23T21:45:36,PDF,Complete,Accepted,No,Passed
EVD-00000094,PFXC-000036,Receipt,Merchant,2025-12-23T20:30:23,PNG,Complete,Accepted,Yes,Passed
EVD-00000095,PFXC-000037,Screenshot,Customer,2025-05-17T07:42:49,CSV,Complete,Accepted,No,Passed
EVD-00000096,PFXC-000037,Receipt,Customer,2025-05-16T11:38:56,Other,Complete,Accepted,Yes,Passed
EVD-00000097,PFXC-000038,Screenshot,Customer,2025-05-03T23:08:17,PNG,Unreadable,Further Evidence Required,No,Passed
EVD-00000098,PFXC-000038,Bank Statement,Customer,2025-05-02T19:48:59,PNG,Complete,Accepted,No,Passed
EVD-00000099,PFXC-000038,Receipt,Customer,2025-05-02T00:32:22,PNG,Complete,Accepted,No,Passed
EVD-00000100,PFXC-000040,Screenshot,Customer,2026-02-16T11:35:08,PDF,Incomplete,Rejected,No,Passed
EVD-00000101,PFXC-000041,Screenshot,Customer,2025-03-15T15:55:16,PNG,Complete,Accepted,No,Passed
EVD-00000102,PFXC-000041,Merchant Communication,Customer,2025-03-16T13:42:57,PDF,Complete,Further Evidence Required,No,Not Applicable
EVD-00000103,PFXC-000042,Identity Evidence,Merchant,2025-01-21T12:10:07,PNG,Incomplete,Further Evidence Required,Yes,Passed
EVD-00000104,PFXC-000042,Screenshot,Operations,2025-01-20T05:52:46,JPG,Complete,Further Evidence Required,Yes,Passed
EVD-00000105,PFXC-000042,Screenshot,Customer,2025-01-20T09:47:56,Other,Complete,Accepted,No,Passed
EVD-00000106,PFXC-000043,Bank Statement,Customer,2026-05-05T15:08:00,PDF,Unreadable,Rejected,No,Passed
EVD-00000107,PFXC-000043,Screenshot,Customer,2026-05-06T05:16:01,PNG,Complete,Accepted,No,Passed
EVD-00000108,PFXC-000043,Receipt,Customer,2026-05-08T07:50:31,PNG,Complete,Accepted,Yes,Passed
EVD-00000109,PFXC-000043,Other,Customer,2026-05-07T00:14:52,PDF,Complete,Accepted,No,Passed
EVD-00000110,PFXC-000044,Merchant Communication,Operations,2025-02-14T23:31:27,PDF,Complete,Accepted,Yes,Passed
EVD-00000111,PFXC-000044,Receipt,Customer,2025-02-13T10:00:16,JPG,Complete,Accepted,No,Passed
EVD-00000112,PFXC-000045,Merchant Communication,Customer,2025-11-12T05:07:22,JPG,Incomplete,Rejected,Yes,Passed
EVD-00000113,PFXC-000045,Bank Statement,Customer,2025-11-12T03:53:54,PDF,Complete,Further Evidence Required,No,Passed
EVD-00000114,PFXC-000045,Merchant Communication,Merchant,2025-11-12T11:00:07,JPG,Incomplete,Further Evidence Required,No,Passed
EVD-00000115,PFXC-000046,Receipt,Customer,2025-01-17T06:14:41,JPG,Complete,Accepted,No,Passed
EVD-00000116,PFXC-000046,Screenshot,Customer,2025-01-17T12:42:42,PDF,Incomplete,Further Evidence Required,No,Passed
EVD-00000117,PFXC-000046,Receipt,Customer,2025-01-18T02:19:28,Other,Complete,Accepted,Yes,Passed
EVD-00000118,PFXC-000046,Receipt,Customer,2025-01-19T00:19:48,PNG,Complete,Accepted,No,Failed
EVD-00000119,PFXC-000047,Screenshot,Customer,2025-08-24T01:06:33,PDF,Complete,Accepted,No,Passed
EVD-00000120,PFXC-000047,Other,Customer,2025-08-24T08:53:49,PDF,Complete,Accepted,No,Passed
EVD-00000121,PFXC-000048,Bank Statement,Customer,2025-08-27T15:19:00,JPG,Complete,Accepted,No,Passed
EVD-00000122,PFXC-000048,Screenshot,Customer,2025-08-26T14:47:02,Other,Complete,Accepted,No,Passed
EVD-00000123,PFXC-000049,Bank Statement,Customer,2026-02-04T06:03:58,PNG,Complete,Accepted,Yes,Passed
EVD-00000124,PFXC-000049,Receipt,Customer,2026-02-05T03:54:49,PDF,Complete,Accepted,No,Passed
EVD-00000125,PFXC-000049,Receipt,Customer,2026-02-03T10:54:30,JPG,Complete,Accepted,No,Passed
EVD-00000126,PFXC-000052,Screenshot,Customer,2026-03-26T20:25:31,PNG,Complete,Accepted,No,Passed
EVD-00000127,PFXC-000052,Receipt,Customer,2026-03-26T23:02:59,PNG,Incomplete,Further Evidence Required,No,Passed
EVD-00000128,PFXC-000053,Receipt,Customer,2025-10-13T04:35:13,PNG,Incomplete,Further Evidence Required,No,Passed
EVD-00000129,PFXC-000053,Identity Evidence,Customer,2025-10-12T19:36:45,PDF,Complete,Accepted,Yes,Passed
EVD-00000130,PFXC-000053,Bank Statement,Customer,2025-10-12T23:33:05,PDF,Complete,Accepted,No,Failed
EVD-00000131,PFXC-000054,Bank Statement,Customer,2026-02-06T00:58:38,PNG,Complete,Accepted,No,Passed
EVD-00000132,PFXC-000054,Receipt,Customer,2026-02-05T14:26:05,PNG,Complete,Accepted,No,Passed
EVD-00000133,PFXC-000055,Screenshot,Customer,2025-11-22T07:26:02,PNG,Complete,Accepted,No,Passed
EVD-00000134,PFXC-000055,Other,Customer,2025-11-22T15:52:18,CSV,Incomplete,Rejected,No,Passed
EVD-00000135,PFXC-000055,Receipt,Customer,2025-11-24T07:56:25,PNG,Complete,Accepted,No,Passed
EVD-00000136,PFXC-000055,Merchant Communication,Customer,2025-11-23T12:44:14,PDF,Unreadable,Rejected,No,Passed
EVD-00000137,PFXC-000056,Merchant Communication,Operations,2026-01-28T00:55:00,PDF,Complete,Accepted,No,Passed
EVD-00000138,PFXC-000057,Other,Customer,2025-12-03T07:34:19,PDF,Complete,Accepted,No,Passed
EVD-00000139,PFXC-000057,Screenshot,Customer,2025-12-03T10:49:41,PNG,Complete,Accepted,No,Passed
EVD-00000140,PFXC-000058,Bank Statement,Customer,2026-01-20T22:23:06,JPG,Incomplete,Further Evidence Required,No,Passed
EVD-00000141,PFXC-000058,Bank Statement,Customer,2026-01-21T21:42:02,PDF,Complete,Accepted,No,Passed
EVD-00000142,PFXC-000058,Merchant Communication,Customer,2026-01-20T03:48:43,PNG,Complete,Accepted,Yes,Passed
EVD-00000143,PFXC-000059,Receipt,Customer,2026-01-20T19:06:52,PDF,Incomplete,Further Evidence Required,No,Passed
EVD-00000144,PFXC-000059,Other,Operations,2026-01-21T14:27:38,JPG,Complete,Further Evidence Required,No,Passed
EVD-00000145,PFXC-000060,Receipt,Customer,2026-02-13T05:32:32,PNG,Incomplete,Further Evidence Required,No,Passed
EVD-00000146,PFXC-000060,Bank Statement,Customer,2026-02-12T05:46:54,PNG,Complete,Accepted,No,Passed
EVD-00000147,PFXC-000060,Merchant Communication,Customer,2026-02-13T15:19:17,PDF,Complete,Accepted,Yes,Passed
EVD-00000148,PFXC-000061,Merchant Communication,Merchant,2025-03-21T19:53:02,JPG,Complete,Accepted,No,Passed
EVD-00000149,PFXC-000061,Merchant Communication,Customer,2025-03-20T19:55:02,PDF,Complete,Accepted,No,Passed
EVD-00000150,PFXC-000062,Merchant Communication,Customer,2025-05-21T22:10:17,PDF,Complete,Accepted,No,Passed
EVD-00000151,PFXC-000063,Bank Statement,Customer,2025-11-01T02:02:31,PDF,Complete,Accepted,No,Passed
EVD-00000152,PFXC-000063,Receipt,Customer,2025-11-03T05:44:27,JPG,Unreadable,Further Evidence Required,No,Passed
EVD-00000153,PFXC-000064,Receipt,Customer,2025-01-26T23:34:21,PDF,Complete,Further Evidence Required,No,Failed
EVD-00000154,PFXC-000065,Bank Statement,Customer,2026-06-04T05:31:26,PDF,Complete,Accepted,No,Passed
EVD-00000155,PFXC-000065,Merchant Communication,Customer,2026-06-05T21:39:29,PDF,Complete,Accepted,Yes,Passed
EVD-00000156,PFXC-000066,Merchant Communication,Customer,2026-05-28T13:32:29,PNG,Complete,Accepted,No,Passed
EVD-00000157,PFXC-000066,Screenshot,Customer,2026-05-29T04:25:39,JPG,Complete,Accepted,Yes,Failed
EVD-00000158,PFXC-000068,Screenshot,Customer,2025-09-16T17:15:03,PDF,Complete,Accepted,No,Passed
EVD-00000159,PFXC-000068,Other,Merchant,2025-09-16T21:31:24,PDF,Complete,Accepted,No,Passed
EVD-00000160,PFXC-000068,Merchant Communication,Customer,2025-09-17T12:46:12,JPG,Complete,Accepted,Yes,Not Applicable
EVD-00000161,PFXC-000069,Other,Operations,2025-04-01T11:54:44,PNG,Complete,Accepted,No,Passed
EVD-00000162,PFXC-000073,Screenshot,Customer,2025-08-22T22:21:34,Other,Unreadable,Rejected,No,Passed
EVD-00000163,PFXC-000073,Other,Customer,2025-08-20T20:54:29,PDF,Unreadable,Further Evidence Required,Yes,Passed
EVD-00000164,PFXC-000073,Screenshot,Customer,2025-08-22T00:16:16,PDF,Incomplete,Rejected,Yes,Passed
EVD-00000165,PFXC-000074,Receipt,Customer,2026-06-16T08:10:20,JPG,Incomplete,Rejected,No,Not Applicable
EVD-00000166,PFXC-000074,Receipt,Customer,2026-06-15T17:38:24,PDF,Complete,Further Evidence Required,No,Passed
EVD-00000167,PFXC-000074,Merchant Communication,Merchant,2026-06-16T05:23:07,JPG,Complete,Further Evidence Required,No,Failed
EVD-00000168,PFXC-000074,Merchant Communication,Customer,2026-06-17T01:13:39,Other,Complete,Accepted,No,Passed
EVD-00000169,PFXC-000075,Merchant Communication,Customer,2025-03-16T05:51:54,PDF,Complete,Accepted,Yes,Passed
EVD-00000170,PFXC-000075,Other,Customer,2025-03-17T07:22:12,Other,Complete,Further Evidence Required,No,Passed
EVD-00000171,PFXC-000076,Screenshot,Customer,2026-04-23T09:26:41,JPG,Complete,Accepted,No,Failed
EVD-00000172,PFXC-000076,Receipt,Merchant,2026-04-23T05:02:51,PDF,Complete,Accepted,No,Passed
EVD-00000173,PFXC-000076,Screenshot,Customer,2026-04-23T12:25:51,PDF,Complete,Accepted,No,Passed
EVD-00000174,PFXC-000077,Receipt,Customer,2025-06-07T21:51:44,PDF,Complete,Accepted,No,Not Applicable
EVD-00000175,PFXC-000078,Other,Customer,2026-04-12T01:38:52,PDF,Complete,Accepted,No,Passed
EVD-00000176,PFXC-000078,Bank Statement,Customer,2026-04-10T07:56:21,Other,Complete,Further Evidence Required,No,Passed
EVD-00000177,PFXC-000079,Receipt,Customer,2025-10-09T11:13:45,PDF,Unreadable,Further Evidence Required,No,Passed
EVD-00000178,PFXC-000080,Bank Statement,Customer,2026-03-31T00:28:11,PDF,Complete,Accepted,No,Passed
EVD-00000179,PFXC-000080,Screenshot,Customer,2026-03-30T13:23:52,PDF,Complete,Further Evidence Required,No,Passed
EVD-00000180,PFXC-000080,Receipt,Customer,2026-03-30T09:21:13,PDF,Complete,Accepted,No,Passed
EVD-00000181,PFXC-000081,Bank Statement,Customer,2025-08-21T20:46:22,PNG,Complete,Accepted,Yes,Passed
EVD-00000182,PFXC-000081,Receipt,Merchant,2025-08-21T13:33:38,PNG,Complete,Accepted,No,Passed
EVD-00000183,PFXC-000082,Bank Statement,Customer,2026-01-31T02:20:48,PDF,Complete,Accepted,No,Passed
EVD-00000184,PFXC-000083,Merchant Communication,Merchant,2025-09-06T02:42:15,JPG,Complete,Accepted,No,Passed
EVD-00000185,PFXC-000083,Screenshot,Customer,2025-09-05T21:40:43,JPG,Complete,Accepted,Yes,Not Applicable
EVD-00000186,PFXC-000083,Merchant Communication,Customer,2025-09-04T14:49:05,PDF,Complete,Accepted,No,Passed
EVD-00000187,PFXC-000083,Identity Evidence,Customer,2025-09-06T20:14:27,PDF,Complete,Accepted,No,Passed
EVD-00000188,PFXC-000084,Screenshot,Customer,2025-10-02T19:33:04,JPG,Complete,Further Evidence Required,No,Passed
EVD-00000189,PFXC-000085,Screenshot,Merchant,2026-06-06T04:15:29,JPG,Complete,Accepted,No,Not Applicable
EVD-00000190,PFXC-000085,Receipt,Customer,2026-06-04T17:45:16,Other,Complete,Accepted,No,Not Applicable
EVD-00000191,PFXC-000085,Bank Statement,Merchant,2026-06-06T14:18:42,PDF,Incomplete,Rejected,No,Not Applicable
EVD-00000192,PFXC-000086,Receipt,Customer,2025-06-26T02:54:34,PDF,Complete,Accepted,No,Passed
EVD-00000193,PFXC-000086,Merchant Communication,Customer,2025-06-26T22:08:28,PNG,Complete,Accepted,No,Passed
EVD-00000194,PFXC-000086,Other,Customer,2025-06-25T17:34:50,PDF,Complete,Accepted,No,Passed
EVD-00000195,PFXC-000086,Receipt,Customer,2025-06-26T03:18:22,PDF,Complete,Accepted,No,Not Applicable
EVD-00000196,PFXC-000087,Merchant Communication,Customer,2025-05-02T18:00:04,PDF,Complete,Accepted,No,Passed
EVD-00000197,PFXC-000087,Receipt,Customer,2025-05-01T13:09:27,Other,Complete,Further Evidence Required,Yes,Not Applicable
EVD-00000198,PFXC-000087,Screenshot,Customer,2025-05-02T08:33:54,PNG,Unreadable,Rejected,No,Passed
EVD-00000199,PFXC-000087,Screenshot,Customer,2025-05-02T07:09:36,PDF,Complete,Accepted,No,Passed
EVD-00000200,PFXC-000088,Bank Statement,Customer,2025-04-18T20:28:32,PDF,Complete,Further Evidence Required,No,Passed
EVD-00000201,PFXC-000089,Screenshot,Customer,2026-01-10T08:13:41,PDF,Complete,Accepted,Yes,Passed
EVD-00000202,PFXC-000089,Receipt,Customer,2026-01-09T21:20:51,JPG,Unreadable,Further Evidence Required,No,Passed
EVD-00000203,PFXC-000089,Receipt,Customer,2026-01-10T19:35:50,JPG,Complete,Accepted,No,Passed
EVD-00000204,PFXC-000090,Bank Statement,Customer,2025-12-12T16:27:26,PNG,Complete,Accepted,No,Passed
EVD-00000205,PFXC-000090,Screenshot,Customer,2025-12-12T14:59:55,JPG,Incomplete,Further Evidence Required,Yes,Passed
EVD-00000206,PFXC-000091,Bank Statement,Customer,2025-04-17T12:59:10,PDF,Incomplete,Rejected,No,Not Applicable
EVD-00000207,PFXC-000091,Screenshot,Operations,2025-04-14T20:51:13,PNG,Complete,Accepted,No,Passed
EVD-00000208,PFXC-000091,Screenshot,Customer,2025-04-15T16:28:40,PDF,Complete,Accepted,Yes,Passed
EVD-00000209,PFXC-000091,Bank Statement,Merchant,2025-04-15T08:21:18,PDF,Unreadable,Rejected,No,Passed
EVD-00000210,PFXC-000092,Receipt,Customer,2026-06-06T08:01:45,PNG,Complete,Accepted,Yes,Passed
EVD-00000211,PFXC-000092,Screenshot,Customer,2026-06-06T10:20:57,PNG,Complete,Accepted,No,Passed
EVD-00000212,PFXC-000092,Screenshot,Customer,2026-06-04T22:43:41,PDF,Complete,Accepted,No,Passed
EVD-00000213,PFXC-000092,Screenshot,Customer,2026-06-05T10:55:42,JPG,Complete,Accepted,No,Passed
EVD-00000214,PFXC-000093,Identity Evidence,Customer,2025-01-08T19:33:33,PDF,Unreadable,Further Evidence Required,Yes,Passed
EVD-00000215,PFXC-000093,Screenshot,Customer,2025-01-08T14:03:38,PNG,Complete,Accepted,No,Passed
EVD-00000216,PFXC-000094,Identity Evidence,Customer,2025-09-30T12:00:07,JPG,Complete,Accepted,Yes,Passed
EVD-00000217,PFXC-000094,Receipt,Merchant,2025-09-30T16:16:42,PNG,Incomplete,Rejected,No,Passed
EVD-00000218,PFXC-000094,Receipt,Customer,2025-09-28T21:47:49,JPG,Incomplete,Further Evidence Required,No,Passed
EVD-00000219,PFXC-000094,Bank Statement,Customer,2025-09-29T09:54:25,PDF,Complete,Accepted,No,Passed
EVD-00000220,PFXC-000095,Screenshot,Customer,2025-11-06T09:57:01,Other,Complete,Accepted,No,Passed
EVD-00000221,PFXC-000095,Identity Evidence,Customer,2025-11-07T14:05:28,PNG,Complete,Accepted,No,Passed
EVD-00000222,PFXC-000095,Receipt,Customer,2025-11-06T19:04:15,PNG,Complete,Accepted,Yes,Passed
EVD-00000223,PFXC-000096,Bank Statement,Customer,2025-10-27T15:59:57,PDF,Complete,Accepted,No,Passed
EVD-00000224,PFXC-000096,Merchant Communication,Customer,2025-10-26T00:06:25,PDF,Complete,Accepted,No,Passed
EVD-00000225,PFXC-000096,Bank Statement,Customer,2025-10-27T22:19:48,Other,Complete,Accepted,No,Passed
EVD-00000226,PFXC-000097,Merchant Communication,Customer,2025-10-10T18:10:31,CSV,Complete,Accepted,Yes,Passed
EVD-00000227,PFXC-000097,Screenshot,Customer,2025-10-11T16:18:53,JPG,Complete,Accepted,No,Passed
EVD-00000228,PFXC-000097,Merchant Communication,Merchant,2025-10-09T00:02:56,PNG,Complete,Accepted,No,Passed
EVD-00000229,PFXC-000097,Receipt,Customer,2025-10-11T01:23:18,PDF,Incomplete,Further Evidence Required,No,Passed
EVD-00000230,PFXC-000098,Receipt,Operations,2026-01-04T15:34:13,PDF,Complete,Accepted,No,Passed
EVD-00000231,PFXC-000098,Receipt,Customer,2026-01-03T23:33:14,PDF,Complete,Accepted,No,Passed
