event_id,case_id,event_datetime,event_type,from_status,to_status,actor_role,automated_flag,queue_from,queue_to,waiting_reason
EVT-00000055,PFXC-000008,2025-11-11T22:57:11,Assignment,In Investigation,In Investigation,Operations,No,Technical Support,Customer Service,None
EVT-00000056,PFXC-000008,2025-11-12T17:56:56,Escalation,In Investigation,In Investigation,Operations,No,Customer Service,Customer Service,None
EVT-00000057,PFXC-000008,2025-11-15T22:22:17,Decision,In Investigation,Pending Approval,Operations,No,Customer Service,Customer Service,None
EVT-00000058,PFXC-000008,2025-11-15T23:25:17,Notification,Pending Approval,Pending Approval,System,Yes,Customer Service,Customer Service,None
EVT-00000059,PFXC-000008,2025-11-16T03:41:49,Closure,Pending Approval,Rejected,Operations,No,Customer Service,Customer Service,None
EVT-00000060,PFXC-000009,2025-09-17T11:39:47,Submission,,Submitted,Customer,No,,Customer Service,None
EVT-00000061,PFXC-000009,2025-09-17T15:19:58,Assignment,Submitted,In Triage,System,Yes,Customer Service,Complaints,None
EVT-00000062,PFXC-000009,2025-09-17T20:53:38,Review,In Triage,In Investigation,Payment Operations,No,Complaints,Complaints,None
EVT-00000063,PFXC-000009,2025-09-18T16:47:24,Assignment,In Investigation,In Investigation,Operations,No,Complaints,Payment Operations,None
EVT-00000064,PFXC-000009,2025-09-19T04:50:26,Assignment,In Investigation,In Investigation,Operations,No,Payment Operations,Refund Approval,None
EVT-00000065,PFXC-000009,2025-09-19T17:42:14,Notification,Pending Approval,Pending Approval,System,Yes,Refund Approval,Refund Approval,None
EVT-00000066,PFXC-000009,2025-09-19T17:42:14,Closure,Pending Approval,Resolved,Operations,No,Refund Approval,Refund Approval,None
EVT-00000067,PFXC-000009,2025-09-19T21:42:06,Decision,In Investigation,Pending Approval,Operations,No,Refund Approval,Refund Approval,None
EVT-00000068,PFXC-000010,2025-06-01T00:42:14,Submission,,Submitted,Customer,No,,Customer Service,None
EVT-00000069,PFXC-000010,2025-06-01T08:34:47,Assignment,Submitted,In Triage,System,Yes,Customer Service,Fraud Review,None
EVT-00000070,PFXC-000010,2025-06-01T12:07:24,Review,In Triage,In Investigation,Payment Operations,No,Fraud Review,Fraud Review,None
EVT-00000071,PFXC-000010,2025-06-01T21:44:10,Assignment,In Investigation,In Investigation,Operations,No,Fraud Review,Payment Operations,None
EVT-00000072,PFXC-000010,2025-06-02T06:54:41,Assignment,In Investigation,In Investigation,Operations,No,Payment Operations,Fraud Review,None
EVT-00000073,PFXC-000010,2025-06-03T00:50:22,Assignment,In Investigation,In Investigation,Operations,No,Fraud Review,Payment Operations,None
EVT-00000074,PFXC-000010,2025-06-03T13:31:38,Escalation,In Investigation,In Investigation,Operations,No,Payment Operations,Payment Operations,None
EVT-00000075,PFXC-000010,2025-06-07T14:42:40,Decision,In Investigation,Pending Approval,Operations,No,Payment Operations,Refund Approval,None
EVT-00000076,PFXC-000010,2025-06-07T16:14:40,Notification,Pending Approval,Pending Approval,System,Yes,Payment Operations,Payment Operations,None
EVT-00000077,PFXC-000010,2025-06-07T22:40:12,Closure,Pending Approval,Resolved,Operations,No,Payment Operations,Payment Operations,None
EVT-00000078,PFXC-000011,2026-05-16T09:03:02,Submission,,Submitted,Customer,No,,Customer Service,None
EVT-00000079,PFXC-000011,2026-05-16T12:11:06,Assignment,Submitted,In Triage,System,Yes,Customer Service,Payment Operations,None
EVT-00000080,PFXC-000011,2026-05-16T14:21:38,Review,In Triage,In Investigation,Payment Operations,No,Payment Operations,Payment Operations,None
EVT-00000081,PFXC-000011,2026-05-21T00:39:14,Decision,In Investigation,Pending Approval,Operations,No,Payment Operations,Refund Approval,Internal Review
EVT-00000082,PFXC-000011,2026-05-21T02:40:14,Notification,Pending Approval,Pending Approval,System,Yes,Payment Operations,Payment Operations,None
EVT-00000083,PFXC-000011,2026-05-21T03:36:31,Closure,Pending Approval,Resolved,Operations,No,Payment Operations,Payment Operations,None
EVT-00000084,PFXC-000012,2025-08-26T09:45:56,Submission,,Submitted,Customer,No,,Customer Service,None
EVT-00000085,PFXC-000012,2025-08-26T14:25:26,Assignment,Submitted,In Triage,System,Yes,Customer Service,Refund Approval,None
EVT-00000086,PFXC-000012,2025-08-26T20:17:11,Evidence Request,In Triage,Awaiting Evidence,Operations,No,Refund Approval,Refund Approval,None
EVT-00000087,PFXC-000012,2025-08-27T04:53:46,Evidence Received,Awaiting Evidence,In Investigation,Customer,No,Refund Approval,Refund Approval,Customer
EVT-00000088,PFXC-000012,2025-08-28T00:18:29,Assignment,In Investigation,In Investigation,Operations,No,Refund Approval,Refund Approval,None
EVT-00000089,PFXC-000012,2025-08-28T18:08:33,Assignment,In Investigation,In Investigation,Operations,No,Refund Approval,Customer Service,None
EVT-00000090,PFXC-000012,2025-08-29T14:08:17,Assignment,In Investigation,In Investigation,Operations,No,Customer Service,Payment Operations,None
EVT-00000091,PFXC-000012,2025-08-29T23:03:23,Escalation,In Investigation,In Investigation,Operations,No,Payment Operations,Payment Operations,None
EVT-00000092,PFXC-000012,2025-09-01T02:51:05,Decision,In Investigation,Pending Approval,Operations,No,Payment Operations,Refund Approval,Internal Review
EVT-00000093,PFXC-000012,2025-09-01T04:25:05,Notification,Pending Approval,Pending Approval,System,Yes,Payment Operations,Payment Operations,None
EVT-00000094,PFXC-000012,2025-09-01T10:15:56,Closure,Pending Approval,Resolved,Operations,No,Payment Operations,Payment Operations,None
EVT-00000095,PFXC-000013,2026-05-01T21:58:44,Submission,,Submitted,Customer,No,,Customer Service,None
EVT-00000096,PFXC-000013,2026-05-02T02:52:41,Assignment,Submitted,In Triage,System,Yes,Customer Service,Technical Support,Technical Failure
EVT-00000097,PFXC-000013,2026-05-02T06:33:23,Review,In Triage,In Investigation,Payment Operations,No,Technical Support,Technical Support,None
EVT-00000098,PFXC-000013,2026-05-02T09:39:30,Assignment,In Investigation,In Investigation,Operations,No,Technical Support,Technical Support,Technical Failure
EVT-00000099,PFXC-000013,2026-05-03T01:00:59,Assignment,In Investigation,In Investigation,Operations,No,Technical Support,Customer Service,None
EVT-00000100,PFXC-000013,2026-05-03T08:19:46,Assignment,In Investigation,In Investigation,Operations,No,Customer Service,Payment Operations,None
EVT-00000101,PFXC-000013,2026-05-03T16:43:33,Escalation,In Investigation,In Investigation,Operations,No,Payment Operations,Payment Operations,None
EVT-00000102,PFXC-000013,2026-05-07T16:31:07,Decision,In Investigation,Pending Approval,Operations,No,Payment Operations,Refund Approval,Internal Review
EVT-00000103,PFXC-000013,2026-05-07T18:36:07,Notification,Pending Approval,Pending Approval,System,Yes,Payment Operations,Payment Operations,None
EVT-00000104,PFXC-000013,2026-05-08T00:26:15,Closure,Pending Approval,Resolved,Operations,No,Payment Operations,Payment Operations,None
EVT-00000105,PFXC-000014,2025-05-16T01:04:41,Submission,,Submitted,Customer,No,,Customer Service,None
EVT-00000106,PFXC-000014,2025-05-16T05:29:18,Assignment,Submitted,In Triage,System,Yes,Customer Service,Customer Service,None
EVT-00000107,PFXC-000014,2025-05-16T12:09:20,Review,In Triage,In Investigation,Payment Operations,No,Customer Service,Customer Service,None
EVT-00000108,PFXC-000014,2025-05-16T16:31:00,Assignment,In Investigation,In Investigation,Operations,No,Customer Service,Fraud Review,None
EVT-00000109,PFXC-000014,2025-05-16T20:02:19,Assignment,In Investigation,In Investigation,Operations,No,Fraud Review,Technical Support,Technical Failure
EVT-00000110,PFXC-000014,2025-05-17T08:49:33,Assignment,In Investigation,In Investigation,Operations,No,Technical Support,Refund Approval,None
EVT-00000111,PFXC-000014,2025-05-18T00:33:37,Escalation,In Investigation,In Investigation,Operations,No,Refund Approval,Refund Approval,None
EVT-00000112,PFXC-000014,2025-05-21T19:14:37,Decision,In Investigation,Pending Approval,Operations,No,Refund Approval,Refund Approval,None
EVT-00000113,PFXC-000014,2025-05-21T22:04:37,Notification,Pending Approval,Pending Approval,System,Yes,Refund Approval,Refund Approval,None
EVT-00000114,PFXC-000014,2025-05-22T00:39:40,Closure,Pending Approval,Resolved,Operations,No,Refund Approval,Refund Approval,None
EVT-00000115,PFXC-000015,2025-02-19T21:46:08,Submission,,Submitted,Customer,No,,Customer Service,None
EVT-00000116,PFXC-000015,2025-02-20T05:45:19,Assignment,Submitted,In Triage,System,Yes,Customer Service,Customer Service,None
EVT-00000117,PFXC-000015,2025-02-20T16:25:17,Review,In Triage,In Investigation,Payment Operations,No,Customer Service,Customer Service,None
EVT-00000118,PFXC-000015,2025-02-25T19:50:32,Decision,In Investigation,Pending Approval,Operations,No,Customer Service,Refund Approval,None
EVT-00000119,PFXC-000015,2025-02-25T22:33:32,Notification,Pending Approval,Pending Approval,System,Yes,Customer Service,Customer Service,None
EVT-00000120,PFXC-000015,2025-02-25T23:06:45,Closure,Pending Approval,Resolved,Operations,No,Customer Service,Customer Service,None
EVT-00000121,PFXC-000016,2025-08-17T16:34:11,Submission,,Submitted,Customer,No,,Customer Service,None
EVT-00000122,PFXC-000016,2025-08-17T19:57:25,Assignment,Submitted,In Triage,System,Yes,Customer Service,Payment Operations,None
EVT-00000123,PFXC-000016,2025-08-18T01:57:26,Review,In Triage,In Investigation,Payment Operations,No,Payment Operations,Payment Operations,None
EVT-00000124,PFXC-000016,2025-08-18T13:45:35,Assignment,In Investigation,In Investigation,Operations,No,Payment Operations,Fraud Review,None
EVT-00000125,PFXC-000016,2025-08-19T06:18:43,Assignment,In Investigation,In Investigation,Operations,No,Fraud Review,Payment Operations,None
EVT-00000126,PFXC-000016,2025-08-19T14:18:32,Assignment,In Investigation,In Investigation,Operations,No,Payment Operations,Payment Operations,None
EVT-00000127,PFXC-000016,2025-08-20T04:40:55,Escalation,In Investigation,In Investigation,Operations,No,Payment Operations,Payment Operations,None
EVT-00000128,PFXC-000017,2025-11-18T13:48:25,Submission,,Submitted,Customer,No,,Customer Service,None
EVT-00000129,PFXC-000017,2025-11-18T16:46:59,Assignment,Submitted,In Triage,System,Yes,Customer Service,Payment Operations,None
EVT-00000130,PFXC-000017,2025-11-19T01:03:30,Evidence Request,In Triage,Awaiting Evidence,Operations,No,Payment Operations,Payment Operations,None
EVT-00000131,PFXC-000017,2025-11-19T18:31:25,Evidence Received,Awaiting Evidence,In Investigation,Customer,No,Payment Operations,Payment Operations,Customer
EVT-00000132,PFXC-000017,2025-11-20T00:56:06,Assignment,In Investigation,In Investigation,Operations,No,Payment Operations,Payment Operations,None
EVT-00000133,PFXC-000017,2025-11-20T16:31:59,Assignment,In Investigation,In Investigation,Operations,No,Payment Operations,Technical Support,Technical Failure
EVT-00000134,PFXC-000018,2026-02-07T18:36:57,Submission,,Submitted,Customer,No,,Customer Service,None
EVT-00000135,PFXC-000018,2026-02-07T21:19:10,Assignment,Submitted,In Triage,System,Yes,Customer Service,Customer Service,None
EVT-00000136,PFXC-000018,2026-02-08T01:27:25,Evidence Request,In Triage,Awaiting Evidence,Operations,No,Customer Service,Customer Service,None
EVT-00000137,PFXC-000018,2026-02-08T14:18:30,Evidence Received,Awaiting Evidence,In Investigation,Customer,No,Customer Service,Customer Service,Customer
EVT-00000138,PFXC-000018,2026-02-08T23:34:14,Assignment,In Investigation,In Investigation,Operations,No,Customer Service,Fraud Review,None
EVT-00000139,PFXC-000019,2025-01-24T16:37:25,Submission,,Submitted,Customer,No,,Customer Service,None
EVT-00000140,PFXC-000019,2025-01-24T22:07:56,Assignment,Submitted,In Triage,System,Yes,Customer Service,Complaints,None
EVT-00000141,PFXC-000019,2025-01-25T05:33:34,Review,In Triage,In Investigation,Payment Operations,No,Complaints,Complaints,None
EVT-00000142,PFXC-000019,2025-01-25T13:03:06,Assignment,In Investigation,In Investigation,Operations,No,Complaints,Payment Operations,None
EVT-00000143,PFXC-000019,2025-01-26T04:08:11,Assignment,In Investigation,In Investigation,Operations,No,Payment Operations,Payment Operations,None
EVT-00000144,PFXC-000019,2025-01-26T23:04:44,Escalation,In Investigation,In Investigation,Operations,No,Payment Operations,Payment Operations,None
EVT-00000145,PFXC-000019,2025-01-30T02:50:22,Decision,In Investigation,Pending Approval,Operations,No,Payment Operations,Refund Approval,None
EVT-00000146,PFXC-000019,2025-01-30T05:09:22,Notification,Pending Approval,Pending Approval,System,Yes,Payment Operations,Payment Operations,None
EVT-00000147,PFXC-000019,2025-01-30T10:32:06,Closure,Pending Approval,Resolved,Operations,No,Payment Operations,Payment Operations,None
EVT-00000148,PFXC-000020,2026-03-30T03:45:50,Submission,,Submitted,Customer,No,,Customer Service,None
EVT-00000149,PFXC-000020,2026-03-30T05:20:01,Assignment,Submitted,In Triage,System,Yes,Customer Service,Customer Service,None
EVT-00000150,PFXC-000020,2026-03-30T08:39:26,Evidence Request,In Triage,Awaiting Evidence,Operations,No,Customer Service,Customer Service,None
EVT-00000151,PFXC-000020,2026-03-31T09:53:20,Evidence Received,Awaiting Evidence,In Investigation,Customer,No,Customer Service,Customer Service,Customer
EVT-00000152,PFXC-000020,2026-04-01T02:28:33,Assignment,In Investigation,In Investigation,Operations,No,Customer Service,Fraud Review,None
EVT-00000153,PFXC-000020,2026-04-05T00:23:07,Decision,In Investigation,Pending Approval,Operations,No,Fraud Review,Refund Approval,None
EVT-00000154,PFXC-000020,2026-04-05T01:56:07,Notification,Pending Approval,Pending Approval,System,Yes,Fraud Review,Fraud Review,None
EVT-00000155,PFXC-000020,2026-04-05T03:58:44,Closure,Pending Approval,Resolved,Operations,No,Fraud Review,Fraud Review,None
EVT-00000156,PFXC-000021,2025-02-02T16:52:59,Submission,,Submitted,Customer,No,,Customer Service,None
EVT-00000157,PFXC-000021,2025-02-02T18:23:00,Assignment,Submitted,In Triage,System,Yes,Customer Service,Customer Service,None
EVT-00000158,PFXC-000021,2025-02-03T03:23:54,Review,In Triage,In Investigation,Payment Operations,No,Customer Service,Customer Service,None
EVT-00000159,PFXC-000021,2025-02-03T11:27:00,Assignment,In Investigation,In Investigation,Operations,No,Customer Service,Customer Service,None
EVT-00000160,PFXC-000021,2025-02-04T10:52:10,Decision,In Investigation,Pending Approval,Operations,No,Customer Service,Customer Service,None
EVT-00000161,PFXC-000021,2025-02-04T12:04:10,Notification,Pending Approval,Pending Approval,System,Yes,Customer Service,Customer Service,None
EVT-00000162,PFXC-000021,2025-02-04T15:00:42,Closure,Pending Approval,Cancelled,Operations,No,Customer Service,Customer Service,None
EVT-00000163,PFXC-000022,2026-05-20T17:55:06,Submission,,Submitted,Customer,No,,Customer Service,None
EVT-00000164,PFXC-000022,2026-05-21T00:35:16,Assignment,Submitted,In Triage,System,Yes,Customer Service,Payment Operations,None
EVT-00000165,PFXC-000022,2026-05-21T04:53:41,Review,In Triage,In Investigation,Payment Operations,No,Payment Operations,Payment Operations,None
EVT-00000166,PFXC-000022,2026-05-21T15:21:15,Assignment,In Investigation,In Investigation,Operations,No,Payment Operations,Payment Operations,None
EVT-00000167,PFXC-000022,2026-05-22T23:48:56,Decision,In Investigation,Pending Approval,Operations,No,Payment Operations,Refund Approval,None
EVT-00000168,PFXC-000022,2026-05-23T00:25:56,Notification,Pending Approval,Pending Approval,System,Yes,Payment Operations,Payment Operations,None
EVT-00000169,PFXC-000022,2026-05-23T05:46:00,Closure,Pending Approval,Resolved,Operations,No,Payment Operations,Payment Operations,None
EVT-00000170,PFXC-000023,2025-12-16T04:33:51,Submission,,Submitted,Customer,No,,Customer Service,None
EVT-00000171,PFXC-000023,2025-12-16T06:37:56,Assignment,Submitted,In Triage,System,Yes,Customer Service,Customer Service,None
EVT-00000172,PFXC-000023,2025-12-16T15:01:22,Evidence Request,In Triage,Awaiting Evidence,Operations,No,Customer Service,Customer Service,None
EVT-00000173,PFXC-000023,2025-12-17T07:22:36,Evidence Received,Awaiting Evidence,In Investigation,Customer,No,Customer Service,Customer Service,Customer
EVT-00000174,PFXC-000023,2025-12-17T14:38:19,Assignment,In Investigation,In Investigation,Operations,No,Customer Service,Technical Support,Technical Failure
EVT-00000175,PFXC-000023,2025-12-18T02:18:55,Escalation,In Investigation,In Investigation,Operations,No,Technical Support,Technical Support,None
EVT-00000176,PFXC-000023,2025-12-21T17:47:16,Decision,In Investigation,Pending Approval,Operations,No,Technical Support,Technical Support,None
EVT-00000177,PFXC-000023,2025-12-21T18:53:16,Notification,Pending Approval,Pending Approval,System,Yes,Technical Support,Technical Support,None
EVT-00000178,PFXC-000023,2025-12-21T20:29:54,Closure,Pending Approval,Rejected,Operations,No,Technical Support,Technical Support,None
EVT-00000179,PFXC-000024,2025-12-22T02:42:25,Submission,,Submitted,Customer,No,,Customer Service,None
EVT-00000180,PFXC-000024,2025-12-22T09:34:41,Assignment,Submitted,In Triage,System,Yes,Customer Service,Fraud Review,None
EVT-00000181,PFXC-000024,2025-12-22T14:59:26,Evidence Request,In Triage,Awaiting Evidence,Operations,No,Fraud Review,Fraud Review,None
EVT-00000182,PFXC-000024,2025-12-23T20:47:53,Evidence Received,Awaiting Evidence,In Investigation,Customer,No,Fraud Review,Fraud Review,Customer
EVT-00000183,PFXC-000024,2025-12-24T03:26:10,Assignment,In Investigation,In Investigation,Operations,No,Fraud Review,Fraud Review,None
EVT-00000184,PFXC-000024,2025-12-24T15:05:22,Assignment,In Investigation,In Investigation,Operations,No,Fraud Review,Fraud Review,None
EVT-00000185,PFXC-000024,2025-12-24T22:09:10,Escalation,In Investigation,In Investigation,Operations,No,Fraud Review,Fraud Review,None
EVT-00000186,PFXC-000024,2025-12-31T10:35:07,Decision,In Investigation,Pending Approval,Operations,No,Fraud Review,Fraud Review,None
EVT-00000187,PFXC-000024,2025-12-31T13:33:07,Notification,Pending Approval,Pending Approval,System,Yes,Fraud Review,Fraud Review,None
EVT-00000188,PFXC-000024,2025-12-31T13:42:16,Closure,Pending Approval,Rejected,Operations,No,Fraud Review,Fraud Review,None
EVT-00000189,PFXC-000025,2025-05-29T07:12:20,Submission,,Submitted,Customer,No,,Customer Service,None
EVT-00000190,PFXC-000025,2025-05-29T08:55:13,Assignment,Submitted,In Triage,System,Yes,Customer Service,Fraud Review,None
EVT-00000191,PFXC-000025,2025-05-29T18:14:38,Review,In Triage,In Investigation,Payment Operations,No,Fraud Review,Fraud Review,None
EVT-00000192,PFXC-000025,2025-05-30T14:08:36,Assignment,In Investigation,In Investigation,Operations,No,Fraud Review,Payment Operations,None
EVT-00000193,PFXC-000025,2025-05-30T20:40:34,Assignment,In Investigation,In Investigation,Operations,No,Payment Operations,Payment Operations,None
EVT-00000194,PFXC-000025,2025-05-31T09:29:40,Assignment,In Investigation,In Investigation,Operations,No,Payment Operations,Payment Operations,None
EVT-00000195,PFXC-000026,2025-04-15T22:44:29,Submission,,Submitted,Customer,No,,Customer Service,None
EVT-00000196,PFXC-000026,2025-04-16T02:48:33,Assignment,Submitted,In Triage,System,Yes,Customer Service,Payment Operations,None
EVT-00000197,PFXC-000026,2025-04-16T06:01:18,Evidence Request,In Triage,Awaiting Evidence,Operations,No,Payment Operations,Payment Operations,None
EVT-00000198,PFXC-000026,2025-04-17T04:05:25,Evidence Received,Awaiting Evidence,In Investigation,Customer,No,Payment Operations,Payment Operations,Customer
EVT-00000199,PFXC-000026,2025-04-17T17:11:42,Assignment,In Investigation,In Investigation,Operations,No,Payment Operations,Refund Approval,None
EVT-00000200,PFXC-000026,2025-04-18T08:36:47,Assignment,In Investigation,In Investigation,Operations,No,Refund Approval,Fraud Review,None
EVT-00000201,PFXC-000026,2025-04-19T04:42:45,Escalation,In Investigation,In Investigation,Operations,No,Fraud Review,Fraud Review,None
EVT-00000202,PFXC-000026,2025-04-20T07:56:08,Decision,In Investigation,Pending Approval,Operations,No,Fraud Review,Fraud Review,None
EVT-00000203,PFXC-000026,2025-04-20T09:23:08,Notification,Pending Approval,Pending Approval,System,Yes,Fraud Review,Fraud Review,None
EVT-00000204,PFXC-000026,2025-04-20T11:02:08,Closure,Pending Approval,Rejected,Operations,No,Fraud Review,Fraud Review,None
EVT-00000205,PFXC-000027,2025-08-09T05:13:31,Submission,,Submitted,Customer,No,,Customer Service,None
EVT-00000206,PFXC-000027,2025-08-09T13:02:43,Assignment,Submitted,In Triage,System,Yes,Customer Service,Customer Service,None
EVT-00000207,PFXC-000027,2025-08-09T15:48:44,Review,In Triage,In Investigation,Payment Operations,No,Customer Service,Customer Service,None
EVT-00000208,PFXC-000027,2025-08-10T02:57:55,Assignment,In Investigation,In Investigation,Operations,No,Customer Service,Fraud Review,None
EVT-00000209,PFXC-000027,2025-08-10T12:56:34,Assignment,In Investigation,In Investigation,Operations,No,Fraud Review,Technical Support,Technical Failure
EVT-00000210,PFXC-000028,2025-07-07T04:32:06,Submission,,Submitted,Customer,No,,Customer Service,None
